date,status,reason,capital,exit_reason,net_pnl
2024-01-01,SKIP,Monday,200000.0,,
2024-01-02,NO_SIGNAL,no combo fired,200000.0,,
2024-01-03,NO_SIGNAL,no combo fired,200000.0,,
2024-01-04,TRADE,,197684.56,STOP_LOSS,-2315.44
2024-01-05,TRADE,,220189.99,HARD_EXIT_1115,22505.43
2024-01-08,SKIP,Monday,220189.99,,
2024-01-09,TRADE,,261442.58,TAKE_PROFIT,41252.59
2024-01-10,NO_SIGNAL,no combo fired,261442.58,,
2024-01-11,TRADE,,259240.92,STOP_LOSS,-2201.65
2024-01-12,TRADE,,229304.86,STOP_LOSS,-29936.06
2024-01-15,SKIP,Monday,229304.86,,
2024-01-16,NO_SIGNAL,no combo fired,229304.86,,
2024-01-17,NO_SIGNAL,no combo fired,229304.86,,
2024-01-18,NO_SIGNAL,no combo fired,229304.86,,
2024-01-19,TRADE,,195266.1,STOP_LOSS,-34038.76
2024-01-20,NO_DATA,options file missing for 20JAN24,195266.1,,
2024-01-23,TRADE,,241215.23,TAKE_PROFIT,45949.13
2024-01-24,NO_SIGNAL,no combo fired,241215.23,,
2024-01-25,NO_SIGNAL,no combo fired,241215.23,,
2024-01-29,SKIP,Monday,241215.23,,
2024-01-30,NO_SIGNAL,no combo fired,241215.23,,
2024-01-31,NO_SIGNAL,no combo fired,241215.23,,
2024-02-01,NO_SIGNAL,no combo fired,241215.23,,
2024-02-02,TRADE,,206011.49,STOP_LOSS,-35203.74
2024-02-05,SKIP,Monday,206011.49,,
2024-02-06,NO_SIGNAL,no combo fired,206011.49,,
2024-02-07,TRADE,,256247.15,TAKE_PROFIT,50235.66
2024-02-08,TRADE,,267218.2,TAKE_PROFIT,10971.05
2024-02-09,NO_SIGNAL,no combo fired,267218.2,,
2024-02-12,SKIP,Monday,267218.2,,
2024-02-13,TRADE,,354839.86,TAKE_PROFIT,87621.66
2024-02-14,NO_SIGNAL,no combo fired,354839.86,,
2024-02-15,TRADE,,365721.45,TAKE_PROFIT,10881.59
2024-02-16,TRADE,,329280.25,STOP_LOSS,-36441.2
2024-02-19,SKIP,Monday,329280.25,,
2024-02-20,NO_SIGNAL,no combo fired,329280.25,,
2024-02-21,NO_SIGNAL,no combo fired,329280.25,,
2024-02-22,NO_SIGNAL,no combo fired,329280.25,,
2024-02-23,TRADE,,291871.84,STOP_LOSS,-37408.41
2024-02-26,SKIP,Monday,291871.84,,
2024-02-27,NO_SIGNAL,no combo fired,291871.84,,
2024-02-28,NO_SIGNAL,no combo fired,291871.84,,
2024-02-29,NO_SIGNAL,no combo fired,291871.84,,
2024-03-01,TRADE,,258730.74,STOP_LOSS,-33141.1
2024-03-04,SKIP,Monday,258730.74,,
2024-03-05,NO_SIGNAL,no combo fired,258730.74,,
2024-03-06,NO_SIGNAL,no combo fired,258730.74,,
2024-03-07,NO_SIGNAL,no combo fired,258730.74,,
2024-03-11,SKIP,Monday,258730.74,,
2024-03-12,NO_SIGNAL,no combo fired,258730.74,,
2024-03-13,TRADE,,315414.84,TAKE_PROFIT,56684.1
2024-03-14,NO_SIGNAL,no combo fired,315414.84,,
2024-03-15,NO_SIGNAL,no combo fired,315414.84,,
2024-03-18,SKIP,Monday,315414.84,,
2024-03-19,NO_SIGNAL,no combo fired,315414.84,,
2024-03-20,NO_SIGNAL,no combo fired,315414.84,,
2024-03-21,TRADE,,311331.83,STOP_LOSS,-4083.01
2024-03-22,NO_SIGNAL,no combo fired,311331.83,,
2024-03-26,NO_SIGNAL,no combo fired,311331.83,,
2024-03-27,TRADE,,297060.84,STOP_LOSS,-14270.99
2024-03-28,TRADE,,294267.47,STOP_LOSS,-2793.36
2024-04-01,SKIP,Monday,294267.47,,
2024-04-02,NO_SIGNAL,no combo fired,294267.47,,
2024-04-03,NO_SIGNAL,no combo fired,294267.47,,
2024-04-04,TRADE,,307072.41,TAKE_PROFIT,12804.94
2024-04-05,NO_SIGNAL,no combo fired,307072.41,,
2024-04-08,SKIP,Monday,307072.41,,
2024-04-09,TRADE,,289918.83,STOP_LOSS,-17153.58
2024-04-10,TRADE,,286017.95,STOP_LOSS,-3900.87
2024-04-12,NO_SIGNAL,no combo fired,286017.95,,
2024-04-15,SKIP,Monday,286017.95,,
2024-04-16,NO_SIGNAL,no combo fired,286017.95,,
2024-04-18,TRADE,,292918.66,TAKE_PROFIT,6900.71
2024-04-19,NO_SIGNAL,no combo fired,292918.66,,
2024-04-22,SKIP,Monday,292918.66,,
2024-04-23,TRADE,,267173.75,STOP_LOSS,-25744.91
2024-04-24,TRADE,,252845.87,STOP_LOSS,-14327.88
2024-04-25,NO_SIGNAL,no combo fired,252845.87,,
2024-04-26,NO_SIGNAL,no combo fired,252845.87,,
2024-04-29,SKIP,Monday,252845.87,,
2024-04-30,NO_SIGNAL,no combo fired,252845.87,,
2024-05-02,NO_SIGNAL,no combo fired,252845.87,,
2024-05-03,NO_SIGNAL,no combo fired,252845.87,,
2024-05-06,SKIP,Monday,252845.87,,
2024-05-07,TRADE,,331260.81,TAKE_PROFIT,78414.94
2024-05-08,NO_SIGNAL,no combo fired,331260.81,,
2024-05-09,NO_SIGNAL,no combo fired,331260.81,,
2024-05-10,TRADE,,296147.28,STOP_LOSS,-35113.52
2024-05-13,SKIP,Monday,296147.28,,
2024-05-14,NO_SIGNAL,no combo fired,296147.28,,
2024-05-15,TRADE,,277362.67,STOP_LOSS,-18784.61
2024-05-16,TRADE,,290406.16,TAKE_PROFIT,13043.49
2024-05-17,NO_SIGNAL,no combo fired,290406.16,,
2024-05-21,NO_SIGNAL,no combo fired,290406.16,,
2024-05-22,NO_SIGNAL,no combo fired,290406.16,,
2024-05-23,NO_SIGNAL,no combo fired,290406.16,,
2024-05-24,NO_SIGNAL,no combo fired,290406.16,,
2024-05-27,SKIP,Monday,290406.16,,
2024-05-28,NO_SIGNAL,no combo fired,290406.16,,
2024-05-29,NO_SIGNAL,no combo fired,290406.16,,
2024-05-30,NO_SIGNAL,no combo fired,290406.16,,
2024-05-31,NO_SIGNAL,no combo fired,290406.16,,
2024-06-03,SKIP,Monday,290406.16,,
2024-06-04,NO_SIGNAL,no combo fired,290406.16,,
2024-06-05,NO_SIGNAL,no combo fired,290406.16,,
2024-06-06,TRADE,,278335.14,STOP_LOSS,-12071.02
2024-06-07,NO_SIGNAL,no combo fired,278335.14,,
2024-06-10,SKIP,Monday,278335.14,,
2024-06-11,NO_SIGNAL,no combo fired,278335.14,,
2024-06-12,NO_SIGNAL,no combo fired,278335.14,,
2024-06-13,TRADE,,272477.0,STOP_LOSS,-5858.14
2024-06-14,NO_SIGNAL,no combo fired,272477.0,,
2024-06-18,NO_SIGNAL,no combo fired,272477.0,,
2024-06-19,TRADE,,314586.9,TAKE_PROFIT,42109.89
2024-06-20,NO_SIGNAL,no combo fired,314586.9,,
2024-06-21,NO_SIGNAL,no combo fired,314586.9,,
2024-06-24,SKIP,Monday,314586.9,,
2024-06-25,TRADE,,288273.04,STOP_LOSS,-26313.86
2024-06-26,NO_SIGNAL,no combo fired,288273.04,,
2024-06-27,NO_SIGNAL,no combo fired,288273.04,,
2024-06-28,TRADE,,249935.4,STOP_LOSS,-38337.64
2024-07-01,SKIP,Monday,249935.4,,
2024-07-02,TRADE,,325107.48,TAKE_PROFIT,75172.09
2024-07-03,TRADE,,305317.66,STOP_LOSS,-19789.82
2024-07-04,TRADE,,300946.43,STOP_LOSS,-4371.23
2024-07-05,NO_SIGNAL,no combo fired,300946.43,,
2024-07-08,SKIP,Monday,300946.43,,
2024-07-09,NO_SIGNAL,no combo fired,300946.43,,
2024-07-10,NO_SIGNAL,no combo fired,300946.43,,
2024-07-11,TRADE,,297030.36,STOP_LOSS,-3916.07
2024-07-12,NO_SIGNAL,no combo fired,297030.36,,
2024-07-15,SKIP,Monday,297030.36,,
2024-07-16,NO_SIGNAL,no combo fired,297030.36,,
2024-07-18,NO_SIGNAL,no combo fired,297030.36,,
2024-07-19,NO_SIGNAL,no combo fired,297030.36,,
2024-07-22,SKIP,Monday,297030.36,,
2024-07-23,TRADE,,277904.09,HARD_EXIT_1115,-19126.27
2024-07-24,NO_SIGNAL,no combo fired,277904.09,,
2024-07-25,NO_SIGNAL,no combo fired,277904.09,,
2024-07-26,NO_SIGNAL,no combo fired,277904.09,,
2024-07-29,SKIP,Monday,277904.09,,
2024-07-30,NO_SIGNAL,no combo fired,277904.09,,
2024-07-31,NO_SIGNAL,no combo fired,277904.09,,
2024-08-01,TRADE,,273942.5,STOP_LOSS,-3961.59
2024-08-02,NO_SIGNAL,no combo fired,273942.5,,
2024-08-05,SKIP,Monday,273942.5,,
2024-08-06,NO_SIGNAL,no combo fired,273942.5,,
2024-08-07,TRADE,,326936.45,TAKE_PROFIT,52993.95
2024-08-08,NO_SIGNAL,no combo fired,326936.45,,
2024-08-09,TRADE,,343380.77,HARD_EXIT_1115,16444.32
2024-08-12,SKIP,Monday,343380.77,,
2024-08-13,NO_SIGNAL,no combo fired,343380.77,,
2024-08-14,TRADE,,338493.74,STOP_LOSS,-4887.03
2024-08-16,TRADE,,427420.0,TAKE_PROFIT,88926.26
2024-08-19,SKIP,Monday,427420.0,,
2024-08-20,TRADE,,407705.98,STOP_LOSS,-19714.02
2024-08-21,NO_SIGNAL,no combo fired,407705.98,,
2024-08-22,TRADE,,404169.23,STOP_LOSS,-3536.75
2024-08-23,NO_SIGNAL,no combo fired,404169.23,,
2024-08-26,SKIP,Monday,404169.23,,
2024-08-27,NO_SIGNAL,no combo fired,404169.23,,
2024-08-28,NO_SIGNAL,no combo fired,404169.23,,
2024-08-29,NO_SIGNAL,no combo fired,404169.23,,
2024-08-30,TRADE,,385852.51,HARD_EXIT_1115,-18316.73
2024-09-02,SKIP,Monday,385852.51,,
2024-09-03,NO_SIGNAL,no combo fired,385852.51,,
2024-09-04,NO_SIGNAL,no combo fired,385852.51,,
2024-09-05,NO_SIGNAL,no combo fired,385852.51,,
2024-09-06,NO_SIGNAL,no combo fired,385852.51,,
2024-09-09,SKIP,Monday,385852.51,,
2024-09-10,TRADE,,443431.18,TAKE_PROFIT,57578.68
2024-09-11,NO_SIGNAL,no combo fired,443431.18,,
2024-09-12,TRADE,,439302.73,STOP_LOSS,-4128.46
2024-09-13,TRADE,,402140.98,STOP_LOSS,-37161.75
2024-09-16,SKIP,Monday,402140.98,,
2024-09-17,NO_SIGNAL,no combo fired,402140.98,,
2024-09-18,NO_SIGNAL,no combo fired,402140.98,,
2024-09-19,NO_SIGNAL,no combo fired,402140.98,,
2024-09-20,TRADE,,363044.62,STOP_LOSS,-39096.36
2024-09-23,SKIP,Monday,363044.62,,
2024-09-24,NO_SIGNAL,no combo fired,363044.62,,
2024-09-25,NO_SIGNAL,no combo fired,363044.62,,
2024-09-26,NO_SIGNAL,no combo fired,363044.62,,
2024-09-27,NO_SIGNAL,no combo fired,363044.62,,
2024-09-30,SKIP,Monday,363044.62,,
2024-10-01,NO_SIGNAL,no combo fired,363044.62,,
2024-10-03,NO_SIGNAL,no combo fired,363044.62,,
2024-10-04,NO_SIGNAL,no combo fired,363044.62,,
2024-10-07,SKIP,Monday,363044.62,,
2024-10-08,NO_SIGNAL,no combo fired,363044.62,,
2024-10-09,TRADE,,331325.9,STOP_LOSS,-31718.72
2024-10-10,TRADE,,324648.48,STOP_LOSS,-6677.42
2024-10-11,NO_SIGNAL,no combo fired,324648.48,,
2024-10-14,SKIP,Monday,324648.48,,
2024-10-15,TRADE,,380288.89,TAKE_PROFIT,55640.42
2024-10-16,NO_SIGNAL,no combo fired,380288.89,,
2024-10-17,TRADE,,375894.9,STOP_LOSS,-4393.99
2024-10-18,NO_SIGNAL,no combo fired,375894.9,,
2024-10-21,SKIP,Monday,375894.9,,
2024-10-22,NO_SIGNAL,no combo fired,375894.9,,
2024-10-23,NO_SIGNAL,no combo fired,375894.9,,
2024-10-24,NO_SIGNAL,no combo fired,375894.9,,
2024-10-25,NO_SIGNAL,no combo fired,375894.9,,
2024-10-28,SKIP,Monday,375894.9,,
2024-10-29,NO_SIGNAL,no combo fired,375894.9,,
2024-10-30,NO_SIGNAL,no combo fired,375894.9,,
2024-10-31,NO_SIGNAL,no combo fired,375894.9,,
2024-11-04,SKIP,Monday,375894.9,,
2024-11-05,NO_SIGNAL,no combo fired,375894.9,,
2024-11-06,TRADE,,346205.33,STOP_LOSS,-29689.58
2024-11-07,NO_SIGNAL,no combo fired,346205.33,,
2024-11-08,NO_SIGNAL,no combo fired,346205.33,,
2024-11-11,SKIP,Monday,346205.33,,
2024-11-12,TRADE,,413922.58,TAKE_PROFIT,67717.25
2024-11-13,NO_SIGNAL,no combo fired,413922.58,,
2024-11-14,NO_SIGNAL,no combo fired,413922.58,,
2024-11-18,SKIP,Monday,413922.58,,
2024-11-19,TRADE,,388310.37,STOP_LOSS,-25612.21
2024-11-21,NO_SIGNAL,no combo fired,388310.37,,
2024-11-22,TRADE,,345838.46,STOP_LOSS,-42471.9
2024-11-25,SKIP,Monday,345838.46,,
2024-11-26,TRADE,,424887.06,TAKE_PROFIT,79048.6
2024-11-27,NO_SIGNAL,no combo fired,424887.06,,
2024-11-28,NO_SIGNAL,no combo fired,424887.06,,
2024-11-29,NO_SIGNAL,no combo fired,424887.06,,
2024-12-02,SKIP,Monday,424887.06,,
2024-12-03,TRADE,,387402.85,STOP_LOSS,-37484.21
2024-12-04,NO_SIGNAL,no combo fired,387402.85,,
2024-12-05,TRADE,,415520.02,TAKE_PROFIT,28117.17
2024-12-06,NO_SIGNAL,no combo fired,415520.02,,
2024-12-09,SKIP,Monday,415520.02,,
2024-12-10,NO_SIGNAL,no combo fired,415520.02,,
2024-12-11,NO_SIGNAL,no combo fired,415520.02,,
2024-12-12,NO_SIGNAL,no combo fired,415520.02,,
2024-12-13,NO_SIGNAL,no combo fired,415520.02,,
2024-12-16,SKIP,Monday,415520.02,,
2024-12-17,NO_SIGNAL,no combo fired,415520.02,,
2024-12-18,NO_SIGNAL,no combo fired,415520.02,,
2024-12-19,NO_SIGNAL,no combo fired,415520.02,,
2024-12-20,NO_SIGNAL,no combo fired,415520.02,,
2024-12-23,SKIP,Monday,415520.02,,
2024-12-24,NO_SIGNAL,no combo fired,415520.02,,
2024-12-26,NO_SIGNAL,no combo fired,415520.02,,
2024-12-27,NO_SIGNAL,no combo fired,415520.02,,
2024-12-30,SKIP,Monday,415520.02,,
2024-12-31,NO_SIGNAL,no combo fired,415520.02,,
